p	SIGMA	TMASS	CRATIO	EXCESS	H
242689	-1.888749	1.4345703125	1.12955004987	1.60929937545	0.270036960884
243073	-1.891030	1.1484375	0.904559014794	0.550563034066	0.269610363965
243137	-1.891410	1.408203125	1.1092236523	1.51444698563	0.269539395485
243233	-1.891979	1.1796875	0.929302679317	0.666909738117	0.26943301279
243521	-1.893687	1.1875	0.935691872994	0.69672980087	0.26911436796
243553	-1.893876	1.41015625	1.11116505706	1.52429671407	0.269079009497
243809	-1.895392	1.296875	1.02213004576	1.10446016442	0.26879647593
244033	-1.896717	1.5078125	1.1886112512	1.89094388972	0.268549745321
244129	-1.897284	1.26171875	0.994697920064	0.97494677224	0.268444142236
244481	-1.899363	1.2734375	1.00424259857	1.02006978618	0.268057640471
244897	-1.901816	1.306640625	1.03079698337	1.14588188206	0.267602298109
245473	-1.905205	1.4140625	1.11609400421	1.55094474804	0.266974371927
246017	-1.908398	1.130859375	0.892982971894	0.491243318217	0.266384030372
246049	-1.908586	1.314453125	1.03798615126	1.18060390559	0.266349385691
246209	-1.909524	1.189453125	0.939405616317	0.711758059863	0.266176297373
246241	-1.909711	1.1875	0.937888700541	0.704511902037	0.266141706702
246497	-1.911211	1.091796875	0.862490559612	0.345275872387	0.265865304649
246689	-1.912334	1.423828125	1.12497033005	1.59538775201	0.265658379579
246817	-1.913082	1.21875	0.963042396879	0.823853189136	0.265520608386
246913	-1.913643	1.4609375	1.15451038553	1.73665157454	0.265417373731
247073	-1.914578	1.09375	0.864456743749	0.353446154726	0.265245494247
247201	-1.915325	1.259765625	0.995777020444	0.979847749533	0.265108150857
247393	-1.916445	1.1328125	0.895573048153	0.501363894293	0.264902402251
247553	-1.917378	1.1875	0.938934700468	0.708265621424	0.264731188877
247649	-1.917937	1.265625	1.00078792539	1.00376540208	0.264628567044
247873	-1.919242	1.04296875	0.824879368008	0.162520683127	0.26438942523
248033	-1.920173	1.4609375	1.15560487976	1.74452904459	0.264218874101
248161	-1.920917	1.08984375	0.862161821776	0.340210801003	0.264082591543
248257	-1.921475	1.416015625	1.1202828339	1.57593333357	0.26398047185
248609	-1.923519	1.30859375	1.03560209201	1.17065970235	0.263606707722
248641	-1.923705	1.1015625	0.871783973195	0.385330000191	0.263572781641
248737	-1.924262	1.375	1.08827186323	1.42330624857	0.263471055774
249089	-1.926302	1.2734375	1.00818524155	1.03929615377	0.263098731779
249217	-1.927043	1.32421875	1.04850111904	1.23294154603	0.262963602001
249377	-1.927969	1.1484375	0.909441045236	0.564841663806	0.262794884853
