family	N	kappa	p	SIGMA	TNUM	NKER	TMASSf	CRATIO	EXCESS	ZFRATIO	ZFLOOR_OK	tag
M4	16	1	167809	-1.3564605674920998	114176	289	1.7421875	1.252891620043798	1.9004462071793697	4.460979342460632	True	LAD16-exhaustive
M4	16	1	167873	-1.3570106862576914	79360	289	1.2109375	0.8709372041125412	0.5403328135729	3.1018632650375366	True	LAD16-exhaustive
M4	16	1	168193	-1.3597581379642634	105472	321	1.609375	1.1581223018850972	1.563936970702678	4.1303346157073975	True	LAD16-exhaustive
M4	16	1	168353	-1.3611299042246436	80640	225	1.23046875	0.8856936032150003	0.5920516589417868	3.1609055399894714	True	LAD16-exhaustive
M4	16	1	168449	-1.3619523383412826	86272	225	1.31640625	0.9477029044988119	0.8132801771000229	3.3835955262184143	True	LAD16-exhaustive
M4	16	1	168481	-1.3622263788924194	98304	385	1.5	1.0799325687132504	1.285427634088655	3.8562240600585938	True	LAD16-exhaustive
M4	16	1	168673	-1.3638695299616295	105472	257	1.609375	1.159047126379116	1.5684002346074617	4.142122030258179	True	LAD16-exhaustive
M4	16	1	168737	-1.3644168313677767	94848	225	1.447265625	1.0424090790432703	1.151602346313039	3.726307064294815	True	LAD16-exhaustive
M4	16	1	168769	-1.3646904042313537	111488	257	1.701171875	1.2253528585592863	1.8056927774757763	4.380875796079636	True	LAD16-exhaustive
M4	16	1	169217	-1.3685149872427154	111360	193	1.69921875	1.224853033067876	1.8054428811894407	4.387461841106415	True	LAD16-exhaustive
M4	16	1	169249	-1.3687877841643932	97600	225	1.4892578125	1.0735629153085922	1.2635446022402153	3.846060112118721	True	LAD16-exhaustive
M4	16	1	169313	-1.3693332233082813	80064	225	1.2216796875	0.8807665082508154	0.5727207283083466	3.156223341822624	True	LAD16-exhaustive
M4	16	1	169409	-1.3701509955677373	80128	193	1.22265625	0.8816099694235647	0.5755698887045091	3.160537302494049	True	LAD16-exhaustive
M4	16	1	169633	-1.3720573300996257	75008	225	1.14453125	0.8255811570079687	0.37410955262455176	2.9624980092048645	True	LAD16-exhaustive
M4	16	1	169889	-1.3742329181349078	95616	257	1.458984375	1.0528467636450616	1.18984354138056	3.782125800848007	True	LAD16-exhaustive
M4	16	1	170081	-1.375862458843205	86400	321	1.318359375	0.9516666137247682	0.8262284406710155	3.4214459359645844	True	LAD16-exhaustive
M4	16	1	170369	-1.3783033239974891	95744	225	1.4609375	1.0550836820804226	1.198282763981079	3.7978891134262085	True	LAD16-exhaustive
M4	16	1	170497	-1.3793868287994542	81664	225	1.24609375	0.9001120445268015	0.6402417958915083	3.2418097853660583	True	LAD16-exhaustive
M4	16	1	170689	-1.3810105617608919	88064	193	1.34375	0.9709569889172989	0.8953130960555429	3.4998068809509277	True	LAD16-exhaustive
M4	16	1	170881	-1.382632469288044	88064	289	1.34375	0.9712597444758392	0.8963201915007248	3.5037436485290527	True	LAD16-exhaustive
M4	16	1	171169	-1.3850619168539708	91264	193	1.392578125	1.0070222939964049	1.0253636236839094	3.6371796429157257	True	LAD16-exhaustive
M4	16	1	171233	-1.3856012389589374	89600	289	1.3671875	0.9887637568738175	0.9594051604104676	3.572198748588562	True	LAD16-exhaustive
M4	16	1	171329	-1.386409844277395	83968	193	1.28125	0.9267566251097676	0.7352755207141223	3.3495373725891113	True	LAD16-exhaustive
